optimizer,family,alpha_group,alpha_other,n,mean_bpb,mean_gain_vs_raw,gain_ci95_half,positive_seed_count,min_gain,max_gain
pure_adamw,structured_grid,0.875,0.875,5,1.1455344131779566,0.00041688435171662876,0.00028600811249341766,5,0.00012657496907020338,0.0007357017329927551
pure_adamw,structured_grid,0.875,1.0,5,1.1457243720273729,0.00022692550230045682,0.00028927164768984426,4,-5.323621712549631e-05,0.0005591091020598071
pure_adamw,structured_grid,1.0,0.0,5,1.1453108385157198,0.0006404590139533096,0.0002962395931675493,5,0.0003909477621375501,0.000971462625909636
pure_adamw,structured_grid,1.0,0.125,5,1.1452694848815486,0.0006818126481245912,0.0003070412302630274,5,0.0004082094462571906,0.0010440337922785758
pure_adamw,structured_grid,1.0,0.25,5,1.145270989295578,0.0006803082340953726,0.00029842640414842015,5,0.0004031517451721367,0.0010218433570130525
pure_adamw,structured_grid,1.0,0.375,5,1.145303110796782,0.0006481867328914426,0.00029897197773949677,5,0.0003709477223594604,0.0009957317474680316
pure_adamw,structured_grid,1.0,0.5,5,1.1453626839523607,0.0005886135773125467,0.00031243791047274965,5,0.00029063064862033805,0.0009357798993896438
pure_adamw,structured_grid,1.0,0.625,5,1.1454551560241673,0.000496141505505987,0.00031363666295157905,5,0.00018971405604739644,0.0008539784698924358
pure_adamw,structured_grid,1.0,0.75,5,1.1455754011371755,0.0003758963924977987,0.00031294244301322265,5,7.846639587705262e-05,0.0007397988030815039
pure_adamw,structured_grid,1.0,0.875,5,1.1457500868633224,0.00020121066635101493,0.0003170929114310235,4,-0.00010512815663865638,0.0005688775721524042
pure_adamw,structured_grid,1.0,1.0,5,1.1459379042446811,1.3393284992124777e-05,0.00032890955712637737,2,-0.00031088100402909546,0.00039291117374196105
native,scalar_grid,0.0,0.0,5,1.1019701626279859,0.0,0.0,0,0.0,0.0
native,scalar_grid,0.05,0.05,5,1.101608032616743,0.0003621300112430337,2.596739700551113e-05,5,0.00034111734869135546,0.0003917542284128661
native,scalar_grid,0.1,0.1,5,1.1012649454523988,0.0007052171755868919,3.764321660410043e-05,5,0.000676777532234496,0.0007508083651888153
native,scalar_grid,0.15,0.15,5,1.1009766292653058,0.000993533362680088,5.925259308707335e-05,5,0.0009548471833498162,0.001068508817349656
native,scalar_grid,0.2,0.2,5,1.1007044467180895,0.0012657159098963255,6.937249085105708e-05,5,0.001197685661403547,0.001344128921679566
native,scalar_grid,0.25,0.25,5,1.1004726735723664,0.0014974890556193276,0.00010209247525612494,5,0.0013872757913633293,0.0016089161174870359
native,scalar_grid,0.3,0.3,5,1.1002828018886242,0.001687360739361754,0.00014287840260195875,5,0.0015567431640199914,0.0018641081106056667
native,scalar_grid,0.35,0.35,5,1.1001398478210702,0.0018303148069158226,0.00016144021888320965,5,0.0016868522966038135,0.002026042515183457
native,scalar_grid,0.4,0.4,5,1.1000138275992812,0.0019563350287045813,0.00017793865106238775,5,0.001787745499290061,0.0021665954224789896
native,scalar_grid,0.45,0.45,5,1.0999327066820053,0.002037455945980593,0.00019675105120455703,5,0.0018495903562838478,0.0022723311372889743
native,scalar_grid,0.5,0.5,5,1.0998781639555395,0.002091998672446449,0.00020975899380576115,5,0.0018908452427859324,0.0023364190338586166
native,scalar_grid,0.55,0.55,5,1.099869134278519,0.0021010283494668604,0.00023089349337169742,5,0.0018824615123500532,0.002381824748197703
native,scalar_grid,0.6,0.6,5,1.0998950629038273,0.0020750997241586687,0.0002386738767711866,5,0.0018553972465080726,0.0023617419211290347
